"id";"page";"site_title";"original_file_name";"extension";"url";"download_status";"direction";"package";"content_short";"year";"proposed_name";"ocr_status";"notes"
"37";"2";"Роз'яснення щодо принципу оплати послуг та правил ведення електронних медичних записів в електронній системі охорони здоров'я (далі - ЕСОЗ) за пакетом медичних послуг «Проведення досліджень з радіоізотопної медичної візуалізації та діагностики (позитронно-емісійної комп'ютерної томографії)»";"nPScqxI3K3UJDUQz27JZOJIPctxJylqLxqqxVyi0.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/nPScqxI3K3UJDUQz27JZOJIPctxJylqLxqqxVyi0.pdf";"не завантажено";"";"";"";"";"";"";""
"38";"2";"Роз'яснення щодо алгоритмів та правил щодо визначення медичної послуги в рамках програми медичних гарантій як такої, що підлягає оплаті за тарифом";"OVR2GcKvvUjSvunffg2hdE7V9BF0ORYVEsBo8NGp.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/OVR2GcKvvUjSvunffg2hdE7V9BF0ORYVEsBo8NGp.pdf";"не завантажено";"";"";"";"";"";"";""
"39";"2";"Уточнене роз’яснення щодо скерувань лікарями первинної медичної допомоги (далі – лікар ПМД) пацієнтів для отримання послуг з лабораторної діагностики — Додаток 1";"ZQgsoVUKlv5PmyFVvpoy0Plyhb4Qehu7TpndtlEO.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/25/09/10/ZQgsoVUKlv5PmyFVvpoy0Plyhb4Qehu7TpndtlEO.xlsx";"не завантажено";"";"";"";"";"";"";""
"40";"2";"Уточнене роз’яснення щодо скерувань лікарями первинної медичної допомоги (далі – лікар ПМД) пацієнтів для отримання послуг з лабораторної діагностики";"DxhtK8n2wUWfVbS1LTmZr0ogsnLDaCQMCnpW0syf.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/DxhtK8n2wUWfVbS1LTmZr0ogsnLDaCQMCnpW0syf.pdf";"не завантажено";"";"";"";"";"";"";""
"41";"2";"Роз'яснення щодо принципу оплати послуг, а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров'я (далі – ЕСОЗ) за пакетом медичних послуг «Медичні послуги із здійснення забору, кріоконсервації та зберігання репродуктивних клітин військовослужбовців та інших осіб на випадок втрати репродуктивної функції під час виконання обов’язків із оборони держави, захисту Вітчизни та інших покладених на них обов’язків — Додаток 1";"B7UYwpxzaNiwltXjhhBGXgGvM3rEzTLA2cf98y2T.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/B7UYwpxzaNiwltXjhhBGXgGvM3rEzTLA2cf98y2T.pdf";"не завантажено";"";"";"";"";"";"";""
"42";"2";"Роз'яснення щодо принципу оплати послуг, а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров'я (далі – ЕСОЗ) за пакетом медичних послуг «Медичні послуги із здійснення забору, кріоконсервації та зберігання репродуктивних клітин військовослужбовців та інших осіб на випадок втрати репродуктивної функції під час виконання обов’язків із оборони держави, захисту Вітчизни та інших покладених на них обов’язків";"wVxhnJONS3tv302M7GwRonmyZ1CFflmQwgsKh0d0.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/wVxhnJONS3tv302M7GwRonmyZ1CFflmQwgsKh0d0.pdf";"не завантажено";"";"";"";"";"";"";""
"43";"2";"Роз’яснення щодо змін стосовно унормування скерувань лікарями первинної медичної допомоги (далі – лікар ПМД) пацієнтів для отримання консультативно-діагностичних послуг";"oRuPyD8lrlvxAztOVF4ogrnDTUD60qFU3GpWF0sP.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/oRuPyD8lrlvxAztOVF4ogrnDTUD60qFU3GpWF0sP.pdf";"не завантажено";"";"";"";"";"";"";""
"44";"2";"Роз’яснення щодо скерувань лікарями первинної медичної допомоги (далі – лікар ПМД) пацієнтів для отримання консультативно- діагностичних послуг";"AOUJReTvkFQuV5xA6WUpO4sf3eWCgGvvacH71toJ.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/AOUJReTvkFQuV5xA6WUpO4sf3eWCgGvvacH71toJ.pdf";"не завантажено";"";"";"";"";"";"";""
"45";"2";"Роз'яснення щодо принципу оплати послуг, а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров'я (далі – ЕСОЗ) за пакетом медичних послуг «Розширені послуги з первинної медичної допомоги окремим категоріям осіб, які захищали незалежність, суверенітет та територіальну цілісність України»";"qavxDq3TePZpgKrbC0EKamynx1QrY8IWKLxz2e9P.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/qavxDq3TePZpgKrbC0EKamynx1QrY8IWKLxz2e9P.pdf";"не завантажено";"";"";"";"";"";"";""
"46";"2";"Додаткові роз'яснення щодо принципу оплати послуг за пакетом медичних послуг «Радіологічне лікування та супровід пацієнтів з онкологічними захворюваннями в стаціонарних та амбулаторних умовах» а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров'я (далі – ЕСОЗ).";"dRvp40pjbaiiQdS0ePW5IfCKaT4fW4jqmS928Wkg.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/dRvp40pjbaiiQdS0ePW5IfCKaT4fW4jqmS928Wkg.pdf";"не завантажено";"";"";"";"";"";"";""
