id;site_title;original_file_name;extension;url;direction;package;content_short;year;year_basis;text_quality;proposed_name;duplicate_of;review_required;download_status;ocr_status;renamed_relative_path;direction_relative_path
149;"Роз’яснення щодо подання пропозицій на тендер ""Внесення змін"" у звязку з реорганізацією";KitK6pNm81N7KzXnLKZ94XM3jnCcEWuzgIdqSW4U.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/KitK6pNm81N7KzXnLKZ94XM3jnCcEWuzgIdqSW4U.pdf;Договори-та-контрактування;Без-пакета;Тендер-змін-реорганізація;2025;publication_year;needs_ocr;Договори-та-контрактування_Без-пакета_Тендер-змін-реорганізація_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Договори-та-контрактування_Без-пакета_Тендер-змін-реорганізація_2025.pdf;03_За_напрямами/Договори-та-контрактування/Договори-та-контрактування_Без-пакета_Тендер-змін-реорганізація_2025.pdf
150;Роз’яснення стосовно контрактування та оплати послуг за пакетами з надання реабілітаційної та паліативної допомоги;RqUkjIYvIXLY3VxYQXyZ4hzr6hepwHJsYQK4LMqK.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/RqUkjIYvIXLY3VxYQXyZ4hzr6hepwHJsYQK4LMqK.pdf;Реабілітація;Реабілітація;Контрактування;2025;publication_year;needs_ocr;Реабілітація_Реабілітація_Контрактування_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Реабілітація_Реабілітація_Контрактування_2025.pdf;03_За_напрямами/Реабілітація/Реабілітація_Реабілітація_Контрактування_2025.pdf
151;Роз'яснення щодо подання пропозицій про внесення змін до договору за відповідним напрямом через систему Smart Tender;vKTYXD79aq6mFBA6QWRU6mZKtT3sPprSCqocxzhQ.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/vKTYXD79aq6mFBA6QWRU6mZKtT3sPprSCqocxzhQ.pdf;Договори-та-контрактування;Без-пакета;Зміни-до-договорів;2025;publication_year;needs_ocr;Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025.pdf;03_За_напрямами/Договори-та-контрактування/Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025.pdf
152;Роз'яснення надавачам спеціалізованої медичної допомоги щодо виписування паперових рецептів;2ZxC1axAgTzLH5yXEKzzSmc2pK6qKPzy3lf3R1PQ.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/2ZxC1axAgTzLH5yXEKzzSmc2pK6qKPzy3lf3R1PQ.pdf;Первинна-допомога;ПМД;надавачам-спеціалізованої-медичної-допомоги-щодо;2025;publication_year;needs_ocr;Первинна-допомога_ПМД_надавачам-спеціалізованої-медичної-допомоги-щодо_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Первинна-допомога_ПМД_надавачам-спеціалізованої-медичної-допомоги-щодо_2025.pdf;03_За_напрямами/Первинна-допомога/Первинна-допомога_ПМД_надавачам-спеціалізованої-медичної-допомоги-щодо_2025.pdf
153;Роз'яснення надавачам первинної медичної допомоги щодо виписування паперових рецептів;LrVwNAYzuKwJpMOlUNeAduVvf9QjLelEBqNV1tAJ.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/LrVwNAYzuKwJpMOlUNeAduVvf9QjLelEBqNV1tAJ.pdf;Первинна-допомога;ПМД;надавачам-первинної-медичної-допомоги-щодо-випису;2025;publication_year;needs_ocr;Первинна-допомога_ПМД_надавачам-первинної-медичної-допомоги-щодо-випису_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Первинна-допомога_ПМД_надавачам-первинної-медичної-допомоги-щодо-випису_2025.pdf;03_За_напрямами/Первинна-допомога/Первинна-допомога_ПМД_надавачам-первинної-медичної-допомоги-щодо-випису_2025.pdf
154;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 6. Перелік інтервенцій, що входять в категорії;8VrR5YvsWUWcV5MtHnppzGLP8ODbDW6wdlqBSK8o.docx;docx;https://backend.nszu.gov.ua/storage/application/25/09/10/8VrR5YvsWUWcV5MtHnppzGLP8ODbDW6wdlqBSK8o.docx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток-6_Перелік-інтервенці;2025;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток-6_Перелік-інтервенці_2025.docx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-6_Перелік-інтервенці_2025.docx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-6_Перелік-інтервенці_2025.docx
155;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 5. Коди інтервенцій та лікарі-спеціалісти, які повинні їх обліковувати;aYRIY50ffnJ28UzGRKfqwQJ947IusjLLmekxt2o4.docx;docx;https://backend.nszu.gov.ua/storage/application/25/09/10/aYRIY50ffnJ28UzGRKfqwQJ947IusjLLmekxt2o4.docx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток-5_Коди-інтервенцій-т;2025;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток-5_Коди-інтервенцій-т_2025.docx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-5_Коди-інтервенцій-т_2025.docx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-5_Коди-інтервенцій-т_2025.docx
156;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 4. Уточнюючі правила до кодування деяких інтервенцій;0iv8Cun3buTM427o9F9ltHWK3QZbH6LZNuLPd4QA.docx;docx;https://backend.nszu.gov.ua/storage/application/25/09/10/0iv8Cun3buTM427o9F9ltHWK3QZbH6LZNuLPd4QA.docx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток-4_Уточнюючі-правила;2025;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток-4_Уточнюючі-правила_2025.docx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-4_Уточнюючі-правила_2025.docx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-4_Уточнюючі-правила_2025.docx
157;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 3. Інтервенції , які не оплачуються;o69nu92n8h1WbJsANexZcuaYMRQUEeEfXiAY86ab.docx;docx;https://backend.nszu.gov.ua/storage/application/25/09/10/o69nu92n8h1WbJsANexZcuaYMRQUEeEfXiAY86ab.docx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток-3_Інтервенції-які-не;2025;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток-3_Інтервенції-які-не_2025.docx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-3_Інтервенції-які-не_2025.docx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-3_Інтервенції-які-не_2025.docx
158;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 1. Діагнози, що відносяться до типу епізоду «Профілактика»;c4qsOZxMq8JopHvrRHjI08ouK3PcQHYapIf02lDw.docx;docx;https://backend.nszu.gov.ua/storage/application/25/09/10/c4qsOZxMq8JopHvrRHjI08ouK3PcQHYapIf02lDw.docx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток-1_Діагнози-що-віднос;2025;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток-1_Діагнози-що-віднос_2025.docx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-1_Діагнози-що-віднос_2025.docx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток-1_Діагнози-що-віднос_2025.docx
159;Роз'яснення щодо деяких питань із внесення змін до договорів про медичне обслуговування населення за програмою медичних гарантій щодо вторинної (спеціалізованої) та третинної (високоспеціалізованої) медичної допомоги у зв’язку з реорганізацією;uZHbYKN8B9uvSEbsOGNQxF7mNP28hIkRh5dPCIv5.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/uZHbYKN8B9uvSEbsOGNQxF7mNP28hIkRh5dPCIv5.pdf;Договори-та-контрактування;Без-пакета;Зміни-до-договорів;2025;publication_year;text_ok;Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025_02.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025_02.pdf;03_За_напрямами/Договори-та-контрактування/Договори-та-контрактування_Без-пакета_Зміни-до-договорів_2025_02.pdf
160;Роз'яснення щодо ведення електронних медичних записів;DLQSJE7AYV957TwNVP0QYVcFBmcETozCFmug1PA1.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/DLQSJE7AYV957TwNVP0QYVcFBmcETozCFmug1PA1.pdf;ЕСОЗ-та-ЕМЗ;Без-пакета;Ведення-ЕМЗ;2025;publication_year;needs_ocr;ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_04.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_04.pdf;03_За_напрямами/ЕСОЗ-та-ЕМЗ/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_04.pdf
161;Лист надавачам щодо збереження чинності Декларацій при реорганізації надавача медичних послуг шляхом приєднаня, виділу або поділу — Додаток 1. Офіційний бланк закладу охорони здоров'я;96FbCTa979BwXpzQ2Tdpd9b3VnWgfyqqufrRSx8c.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/96FbCTa979BwXpzQ2Tdpd9b3VnWgfyqqufrRSx8c.pdf;Договори-та-контрактування;Без-пакета;Додаток-1_Офіційний-бланк-закладу;2025;publication_year;text_ok;Договори-та-контрактування_Без-пакета_Додаток-1_Офіційний-бланк-закладу_2025.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Договори-та-контрактування_Без-пакета_Додаток-1_Офіційний-бланк-закладу_2025.pdf;03_За_напрямами/Договори-та-контрактування/Договори-та-контрактування_Без-пакета_Додаток-1_Офіційний-бланк-закладу_2025.pdf
